y,total_count,total_misclassified,unrecognized,unrecognized_and_misclassified,unrecognized_%,unrecognized_and_misclassified_%,unrecognized_misclassified_%,eta,subset_name,num_neurons,stage,thld
2,5958.0,270.0,0.0,0.0,0.0,0.0,1.0,3,components,7.0,train,mean
3,6131.0,201.0,0.0,0.0,0.0,0.0,1.0,3,components,7.0,train,mean
4,5842.0,278.0,0.0,0.0,0.0,0.0,1.0,3,components,7.0,train,mean
5,5421.0,133.0,0.0,0.0,0.0,0.0,1.0,3,components,7.0,train,mean
6,5918.0,131.0,0.0,0.0,0.0,0.0,1.0,3,components,7.0,train,mean
7,6265.0,162.0,0.0,0.0,0.0,0.0,1.0,3,components,7.0,train,mean
8,5851.0,239.0,0.0,0.0,0.0,0.0,1.0,3,components,7.0,train,mean
9,5949.0,230.0,0.0,0.0,0.0,0.0,1.0,3,components,7.0,train,mean
all,60000.0,1803.0,0.0,0.0,0.0,0.0,1.0,3,components,7.0,train,mean
0,979.0,7.0,0.0,0.0,0.0,0.0,1.0,0,components,7.0,test,mean
1,1133.0,8.0,0.0,0.0,0.0,0.0,1.0,0,components,7.0,test,mean
2,1030.0,45.0,0.0,0.0,0.0,0.0,1.0,0,components,7.0,test,mean
3,1008.0,32.0,0.0,0.0,0.0,0.0,1.0,0,components,7.0,test,mean
4,980.0,33.0,0.0,0.0,0.0,0.0,1.0,0,components,7.0,test,mean
5,890.0,18.0,0.0,0.0,0.0,0.0,1.0,0,components,7.0,test,mean
6,956.0,31.0,0.0,0.0,0.0,0.0,1.0,0,components,7.0,test,mean
7,1027.0,36.0,0.0,0.0,0.0,0.0,1.0,0,components,7.0,test,mean
8,973.0,36.0,0.0,0.0,0.0,0.0,1.0,0,components,7.0,test,mean
9,1008.0,38.0,0.0,0.0,0.0,0.0,1.0,0,components,7.0,test,mean
all,9984.0,284.0,0.0,0.0,0.0,0.0,1.0,0,components,7.0,test,mean
0,979.0,7.0,0.0,0.0,0.0,0.0,1.0,1,components,7.0,test,mean
1,1133.0,8.0,0.0,0.0,0.0,0.0,1.0,1,components,7.0,test,mean
2,1030.0,45.0,0.0,0.0,0.0,0.0,1.0,1,components,7.0,test,mean
3,1008.0,32.0,0.0,0.0,0.0,0.0,1.0,1,components,7.0,test,mean
4,980.0,33.0,0.0,0.0,0.0,0.0,1.0,1,components,7.0,test,mean
5,890.0,18.0,0.0,0.0,0.0,0.0,1.0,1,components,7.0,test,mean
6,956.0,31.0,0.0,0.0,0.0,0.0,1.0,1,components,7.0,test,mean
7,1027.0,36.0,0.0,0.0,0.0,0.0,1.0,1,components,7.0,test,mean
8,973.0,36.0,0.0,0.0,0.0,0.0,1.0,1,components,7.0,test,mean
9,1008.0,38.0,0.0,0.0,0.0,0.0,1.0,1,components,7.0,test,mean
all,9984.0,284.0,0.0,0.0,0.0,0.0,1.0,1,components,7.0,test,mean
0,979.0,7.0,0.0,0.0,0.0,0.0,1.0,2,components,7.0,test,mean
1,1133.0,8.0,0.0,0.0,0.0,0.0,1.0,2,components,7.0,test,mean
2,1030.0,45.0,0.0,0.0,0.0,0.0,1.0,2,components,7.0,test,mean
3,1008.0,32.0,0.0,0.0,0.0,0.0,1.0,2,components,7.0,test,mean
4,980.0,33.0,0.0,0.0,0.0,0.0,1.0,2,components,7.0,test,mean
5,890.0,18.0,0.0,0.0,0.0,0.0,1.0,2,components,7.0,test,mean
6,956.0,31.0,0.0,0.0,0.0,0.0,1.0,2,components,7.0,test,mean
7,1027.0,36.0,0.0,0.0,0.0,0.0,1.0,2,components,7.0,test,mean
8,973.0,36.0,0.0,0.0,0.0,0.0,1.0,2,components,7.0,test,mean
9,1008.0,38.0,0.0,0.0,0.0,0.0,1.0,2,components,7.0,test,mean
all,9984.0,284.0,0.0,0.0,0.0,0.0,1.0,2,components,7.0,test,mean
0,979.0,7.0,0.0,0.0,0.0,0.0,1.0,3,components,7.0,test,mean
1,1133.0,8.0,0.0,0.0,0.0,0.0,1.0,3,components,7.0,test,mean
2,1030.0,45.0,0.0,0.0,0.0,0.0,1.0,3,components,7.0,test,mean
3,1008.0,32.0,0.0,0.0,0.0,0.0,1.0,3,components,7.0,test,mean
4,980.0,33.0,0.0,0.0,0.0,0.0,1.0,3,components,7.0,test,mean
5,890.0,18.0,0.0,0.0,0.0,0.0,1.0,3,components,7.0,test,mean
6,956.0,31.0,0.0,0.0,0.0,0.0,1.0,3,components,7.0,test,mean
7,1027.0,36.0,0.0,0.0,0.0,0.0,1.0,3,components,7.0,test,mean
8,973.0,36.0,0.0,0.0,0.0,0.0,1.0,3,components,7.0,test,mean
9,1008.0,38.0,0.0,0.0,0.0,0.0,1.0,3,components,7.0,test,mean
all,9984.0,284.0,0.0,0.0,0.0,0.0,1.0,3,components,7.0,test,mean
1,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,components,7.0,evaluation,mean
all,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,components,7.0,evaluation,mean
1,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,1,components,7.0,evaluation,mean
all,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,1,components,7.0,evaluation,mean
1,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,2,components,7.0,evaluation,mean
all,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,2,components,7.0,evaluation,mean
1,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,3,components,7.0,evaluation,mean
all,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,3,components,7.0,evaluation,mean
