y,total_count,total_misclassified,unrecognized,unrecognized_and_misclassified,unrecognized_and_classified,NPR,NPV,specificity,eta,subset_name,num_neurons,stage,thld
40,95,2,0,0,0,0.0,0.0,0.0,1,top_third,10,test,qth_0.75
41,99,0,0,0,0,0.0,0.0,,1,top_third,10,test,qth_0.75
42,89,2,0,0,0,0.0,0.0,0.0,1,top_third,10,test,qth_0.75
all,4192,177,0,0,0,0.0,0.0,0.0,1,top_third,10,test,qth_0.75
0,94,2,0,0,0,0.0,0.0,0.0,2,top_third,10,test,qth_0.75
1,107,0,0,0,0,0.0,0.0,,2,top_third,10,test,qth_0.75
2,97,0,0,0,0,0.0,0.0,,2,top_third,10,test,qth_0.75
3,100,4,0,0,0,0.0,0.0,0.0,2,top_third,10,test,qth_0.75
4,107,5,0,0,0,0.0,0.0,0.0,2,top_third,10,test,qth_0.75
5,95,0,0,0,0,0.0,0.0,,2,top_third,10,test,qth_0.75
6,76,5,0,0,0,0.0,0.0,0.0,2,top_third,10,test,qth_0.75
7,97,2,0,0,0,0.0,0.0,0.0,2,top_third,10,test,qth_0.75
8,125,0,0,0,0,0.0,0.0,,2,top_third,10,test,qth_0.75
9,86,0,0,0,0,0.0,0.0,,2,top_third,10,test,qth_0.75
10,95,2,0,0,0,0.0,0.0,0.0,2,top_third,10,test,qth_0.75
11,81,1,0,0,0,0.0,0.0,0.0,2,top_third,10,test,qth_0.75
12,98,9,0,0,0,0.0,0.0,0.0,2,top_third,10,test,qth_0.75
13,92,1,0,0,0,0.0,0.0,0.0,2,top_third,10,test,qth_0.75
14,106,0,0,0,0,0.0,0.0,,2,top_third,10,test,qth_0.75
15,100,0,0,0,0,0.0,0.0,,2,top_third,10,test,qth_0.75
16,130,0,0,0,0,0.0,0.0,,2,top_third,10,test,qth_0.75
17,108,0,0,0,0,0.0,0.0,,2,top_third,10,test,qth_0.75
18,85,11,0,0,0,0.0,0.0,0.0,2,top_third,10,test,qth_0.75
19,95,0,0,0,0,0.0,0.0,,2,top_third,10,test,qth_0.75
20,91,0,0,0,0,0.0,0.0,,2,top_third,10,test,qth_0.75
21,83,19,0,0,0,0.0,0.0,0.0,2,top_third,10,test,qth_0.75
22,94,15,0,0,0,0.0,0.0,0.0,2,top_third,10,test,qth_0.75
23,110,0,0,0,0,0.0,0.0,,2,top_third,10,test,qth_0.75
24,98,1,0,0,0,0.0,0.0,0.0,2,top_third,10,test,qth_0.75
25,107,1,0,0,0,0.0,0.0,0.0,2,top_third,10,test,qth_0.75
26,115,0,0,0,0,0.0,0.0,,2,top_third,10,test,qth_0.75
27,94,44,0,0,0,0.0,0.0,0.0,2,top_third,10,test,qth_0.75
28,96,0,0,0,0,0.0,0.0,,2,top_third,10,test,qth_0.75
29,99,0,0,0,0,0.0,0.0,,2,top_third,10,test,qth_0.75
30,90,14,0,0,0,0.0,0.0,0.0,2,top_third,10,test,qth_0.75
31,96,0,0,0,0,0.0,0.0,,2,top_third,10,test,qth_0.75
32,101,0,0,0,0,0.0,0.0,,2,top_third,10,test,qth_0.75
33,108,3,0,0,0,0.0,0.0,0.0,2,top_third,10,test,qth_0.75
34,97,1,0,0,0,0.0,0.0,0.0,2,top_third,10,test,qth_0.75
35,80,3,0,0,0,0.0,0.0,0.0,2,top_third,10,test,qth_0.75
36,94,0,0,0,0,0.0,0.0,,2,top_third,10,test,qth_0.75
37,89,0,0,0,0,0.0,0.0,,2,top_third,10,test,qth_0.75
38,100,1,0,0,0,0.0,0.0,0.0,2,top_third,10,test,qth_0.75
39,93,29,0,0,0,0.0,0.0,0.0,2,top_third,10,test,qth_0.75
40,95,2,0,0,0,0.0,0.0,0.0,2,top_third,10,test,qth_0.75
41,99,0,0,0,0,0.0,0.0,,2,top_third,10,test,qth_0.75
42,89,2,0,0,0,0.0,0.0,0.0,2,top_third,10,test,qth_0.75
all,4192,177,0,0,0,0.0,0.0,0.0,2,top_third,10,test,qth_0.75
0,94,2,0,0,0,0.0,0.0,0.0,3,top_third,10,test,qth_0.75
1,107,0,0,0,0,0.0,0.0,,3,top_third,10,test,qth_0.75
2,97,0,0,0,0,0.0,0.0,,3,top_third,10,test,qth_0.75
3,100,4,0,0,0,0.0,0.0,0.0,3,top_third,10,test,qth_0.75
4,107,5,0,0,0,0.0,0.0,0.0,3,top_third,10,test,qth_0.75
5,95,0,0,0,0,0.0,0.0,,3,top_third,10,test,qth_0.75
6,76,5,0,0,0,0.0,0.0,0.0,3,top_third,10,test,qth_0.75
7,97,2,0,0,0,0.0,0.0,0.0,3,top_third,10,test,qth_0.75
8,125,0,0,0,0,0.0,0.0,,3,top_third,10,test,qth_0.75
9,86,0,0,0,0,0.0,0.0,,3,top_third,10,test,qth_0.75
10,95,2,0,0,0,0.0,0.0,0.0,3,top_third,10,test,qth_0.75
11,81,1,0,0,0,0.0,0.0,0.0,3,top_third,10,test,qth_0.75
12,98,9,0,0,0,0.0,0.0,0.0,3,top_third,10,test,qth_0.75
13,92,1,0,0,0,0.0,0.0,0.0,3,top_third,10,test,qth_0.75
14,106,0,0,0,0,0.0,0.0,,3,top_third,10,test,qth_0.75
15,100,0,0,0,0,0.0,0.0,,3,top_third,10,test,qth_0.75
16,130,0,0,0,0,0.0,0.0,,3,top_third,10,test,qth_0.75
17,108,0,0,0,0,0.0,0.0,,3,top_third,10,test,qth_0.75
18,85,11,0,0,0,0.0,0.0,0.0,3,top_third,10,test,qth_0.75
19,95,0,0,0,0,0.0,0.0,,3,top_third,10,test,qth_0.75
20,91,0,0,0,0,0.0,0.0,,3,top_third,10,test,qth_0.75
21,83,19,0,0,0,0.0,0.0,0.0,3,top_third,10,test,qth_0.75
22,94,15,0,0,0,0.0,0.0,0.0,3,top_third,10,test,qth_0.75
23,110,0,0,0,0,0.0,0.0,,3,top_third,10,test,qth_0.75
24,98,1,0,0,0,0.0,0.0,0.0,3,top_third,10,test,qth_0.75
25,107,1,0,0,0,0.0,0.0,0.0,3,top_third,10,test,qth_0.75
26,115,0,0,0,0,0.0,0.0,,3,top_third,10,test,qth_0.75
27,94,44,0,0,0,0.0,0.0,0.0,3,top_third,10,test,qth_0.75
28,96,0,0,0,0,0.0,0.0,,3,top_third,10,test,qth_0.75
29,99,0,0,0,0,0.0,0.0,,3,top_third,10,test,qth_0.75
30,90,14,0,0,0,0.0,0.0,0.0,3,top_third,10,test,qth_0.75
31,96,0,0,0,0,0.0,0.0,,3,top_third,10,test,qth_0.75
32,101,0,0,0,0,0.0,0.0,,3,top_third,10,test,qth_0.75
33,108,3,0,0,0,0.0,0.0,0.0,3,top_third,10,test,qth_0.75
34,97,1,0,0,0,0.0,0.0,0.0,3,top_third,10,test,qth_0.75
35,80,3,0,0,0,0.0,0.0,0.0,3,top_third,10,test,qth_0.75
36,94,0,0,0,0,0.0,0.0,,3,top_third,10,test,qth_0.75
37,89,0,0,0,0,0.0,0.0,,3,top_third,10,test,qth_0.75
38,100,1,0,0,0,0.0,0.0,0.0,3,top_third,10,test,qth_0.75
39,93,29,0,0,0,0.0,0.0,0.0,3,top_third,10,test,qth_0.75
40,95,2,0,0,0,0.0,0.0,0.0,3,top_third,10,test,qth_0.75
41,99,0,0,0,0,0.0,0.0,,3,top_third,10,test,qth_0.75
42,89,2,0,0,0,0.0,0.0,0.0,3,top_third,10,test,qth_0.75
all,4192,177,0,0,0,0.0,0.0,0.0,3,top_third,10,test,qth_0.75
1,1000,1000,1,0,1,0.001,1.0,0.0,0,top_third,10,evaluation,qth_0.75
all,1000,1000,1,0,1,0.001,1.0,0.0,0,top_third,10,evaluation,qth_0.75
1,1000,1000,1,0,1,0.001,1.0,0.0,1,top_third,10,evaluation,qth_0.75
all,1000,1000,1,0,1,0.001,1.0,0.0,1,top_third,10,evaluation,qth_0.75
1,1000,1000,1,0,1,0.001,1.0,0.0,2,top_third,10,evaluation,qth_0.75
all,1000,1000,1,0,1,0.001,1.0,0.0,2,top_third,10,evaluation,qth_0.75
1,1000,1000,1,0,1,0.001,1.0,0.0,3,top_third,10,evaluation,qth_0.75
all,1000,1000,1,0,1,0.001,1.0,0.0,3,top_third,10,evaluation,qth_0.75
0,1538,22,21,21,0,0.0136540962288686,1.0,0.9545454545454546,0,,30,train,qth_0.5
1,1483,83,82,82,0,0.0552933243425488,1.0,0.9879518072289156,0,,30,train,qth_0.5
2,1473,85,81,81,0,0.054989816700611,1.0,0.9529411764705882,0,,30,train,qth_0.5
3,1478,68,67,67,0,0.0453315290933694,1.0,0.9852941176470589,0,,30,train,qth_0.5
4,1528,75,74,74,0,0.0484293193717277,1.0,0.9866666666666667,0,,30,train,qth_0.5
5,1401,150,143,143,0,0.1020699500356887,1.0,0.9533333333333334,0,,30,train,qth_0.5
6,1521,13,13,13,0,0.0085470085470085,1.0,1.0,0,,30,train,qth_0.5
7,1508,58,55,55,0,0.036472148541114,1.0,0.9482758620689655,0,,30,train,qth_0.5
8,1497,30,30,30,0,0.0200400801603206,1.0,1.0,0,,30,train,qth_0.5
9,1521,29,29,29,0,0.0190664036817883,1.0,1.0,0,,30,train,qth_0.5
10,1447,29,29,29,0,0.0200414651002073,1.0,1.0,0,,30,train,qth_0.5
11,1485,27,27,27,0,0.0181818181818181,1.0,1.0,0,,30,train,qth_0.5
12,1478,13,13,13,0,0.0087956698240866,1.0,1.0,0,,30,train,qth_0.5
13,1477,8,8,8,0,0.0054163845633039,1.0,1.0,0,,30,train,qth_0.5
14,1485,0,0,0,0,0.0,0.0,,0,,30,train,qth_0.5
15,1460,10,10,10,0,0.0068493150684931,1.0,1.0,0,,30,train,qth_0.5
16,1455,9,9,9,0,0.0061855670103092,1.0,1.0,0,,30,train,qth_0.5
17,1478,1,1,1,0,0.0006765899864682,1.0,1.0,0,,30,train,qth_0.5
18,1563,28,27,27,0,0.0172744721689059,1.0,0.9642857142857143,0,,30,train,qth_0.5
19,1504,78,68,68,0,0.0452127659574468,1.0,0.8717948717948718,0,,30,train,qth_0.5
20,1496,77,73,73,0,0.0487967914438502,1.0,0.948051948051948,0,,30,train,qth_0.5
21,1455,43,41,41,0,0.0281786941580756,1.0,0.9534883720930233,0,,30,train,qth_0.5
22,1527,19,18,18,0,0.0117878192534381,1.0,0.9473684210526315,0,,30,train,qth_0.5
23,1467,27,27,27,0,0.0184049079754601,1.0,1.0,0,,30,train,qth_0.5
24,1486,23,22,22,0,0.0148048452220726,1.0,0.9565217391304348,0,,30,train,qth_0.5
25,1503,56,55,55,0,0.0365934797072521,1.0,0.9821428571428571,0,,30,train,qth_0.5
26,1532,16,16,16,0,0.010443864229765,1.0,1.0,0,,30,train,qth_0.5
27,1519,28,27,27,0,0.0177748518762343,1.0,0.9642857142857143,0,,30,train,qth_0.5
28,1496,30,30,30,0,0.0200534759358288,1.0,1.0,0,,30,train,qth_0.5
29,1496,17,17,17,0,0.0113636363636363,1.0,1.0,0,,30,train,qth_0.5
30,1508,12,11,11,0,0.0072944297082228,1.0,0.9166666666666666,0,,30,train,qth_0.5
31,1472,62,61,61,0,0.0414402173913043,1.0,0.9838709677419355,0,,30,train,qth_0.5
32,1473,15,15,15,0,0.010183299389002,1.0,1.0,0,,30,train,qth_0.5
33,1464,145,135,135,0,0.0922131147540983,1.0,0.9310344827586207,0,,30,train,qth_0.5
34,1519,97,82,82,0,0.053982883475971,1.0,0.845360824742268,0,,30,train,qth_0.5
35,1492,11,11,11,0,0.0073726541554959,1.0,1.0,0,,30,train,qth_0.5
36,1484,119,109,109,0,0.0734501347708894,1.0,0.9159663865546218,0,,30,train,qth_0.5
37,1475,100,72,72,0,0.0488135593220339,1.0,0.72,0,,30,train,qth_0.5
38,1401,93,85,85,0,0.0606709493219129,1.0,0.9139784946236559,0,,30,train,qth_0.5
39,1541,111,92,92,0,0.0597014925373134,1.0,0.8288288288288288,0,,30,train,qth_0.5
40,1489,21,21,21,0,0.0141034251175285,1.0,1.0,0,,30,train,qth_0.5
41,1461,23,22,22,0,0.0150581793292265,1.0,0.9565217391304348,0,,30,train,qth_0.5
42,1432,22,21,21,0,0.0146648044692737,1.0,0.9545454545454546,0,,30,train,qth_0.5
all,63968,1983,1850,1850,0,0.0289207103551775,1.0,0.9329299041855774,0,,30,train,qth_0.5
0,1538,22,21,21,0,0.0136540962288686,1.0,0.9545454545454546,1,,30,train,qth_0.5
1,1483,83,82,82,0,0.0552933243425488,1.0,0.9879518072289156,1,,30,train,qth_0.5
2,1473,85,81,81,0,0.054989816700611,1.0,0.9529411764705882,1,,30,train,qth_0.5
3,1478,68,67,67,0,0.0453315290933694,1.0,0.9852941176470589,1,,30,train,qth_0.5
4,1528,75,74,74,0,0.0484293193717277,1.0,0.9866666666666667,1,,30,train,qth_0.5
5,1401,150,143,143,0,0.1020699500356887,1.0,0.9533333333333334,1,,30,train,qth_0.5
6,1521,13,13,13,0,0.0085470085470085,1.0,1.0,1,,30,train,qth_0.5
7,1508,58,55,55,0,0.036472148541114,1.0,0.9482758620689655,1,,30,train,qth_0.5
8,1497,30,30,30,0,0.0200400801603206,1.0,1.0,1,,30,train,qth_0.5
9,1521,29,29,29,0,0.0190664036817883,1.0,1.0,1,,30,train,qth_0.5
10,1447,29,29,29,0,0.0200414651002073,1.0,1.0,1,,30,train,qth_0.5
11,1485,27,27,27,0,0.0181818181818181,1.0,1.0,1,,30,train,qth_0.5
12,1478,13,13,13,0,0.0087956698240866,1.0,1.0,1,,30,train,qth_0.5
13,1477,8,8,8,0,0.0054163845633039,1.0,1.0,1,,30,train,qth_0.5
14,1485,0,0,0,0,0.0,0.0,,1,,30,train,qth_0.5
15,1460,10,10,10,0,0.0068493150684931,1.0,1.0,1,,30,train,qth_0.5
16,1455,9,9,9,0,0.0061855670103092,1.0,1.0,1,,30,train,qth_0.5
17,1478,1,1,1,0,0.0006765899864682,1.0,1.0,1,,30,train,qth_0.5
18,1563,28,27,27,0,0.0172744721689059,1.0,0.9642857142857143,1,,30,train,qth_0.5
19,1504,78,68,68,0,0.0452127659574468,1.0,0.8717948717948718,1,,30,train,qth_0.5
20,1496,77,73,73,0,0.0487967914438502,1.0,0.948051948051948,1,,30,train,qth_0.5
21,1455,43,41,41,0,0.0281786941580756,1.0,0.9534883720930233,1,,30,train,qth_0.5
22,1527,19,18,18,0,0.0117878192534381,1.0,0.9473684210526315,1,,30,train,qth_0.5
23,1467,27,27,27,0,0.0184049079754601,1.0,1.0,1,,30,train,qth_0.5
24,1486,23,22,22,0,0.0148048452220726,1.0,0.9565217391304348,1,,30,train,qth_0.5
25,1503,56,55,55,0,0.0365934797072521,1.0,0.9821428571428571,1,,30,train,qth_0.5
26,1532,16,16,16,0,0.010443864229765,1.0,1.0,1,,30,train,qth_0.5
27,1519,28,27,27,0,0.0177748518762343,1.0,0.9642857142857143,1,,30,train,qth_0.5
28,1496,30,30,30,0,0.0200534759358288,1.0,1.0,1,,30,train,qth_0.5
29,1496,17,17,17,0,0.0113636363636363,1.0,1.0,1,,30,train,qth_0.5
30,1508,12,11,11,0,0.0072944297082228,1.0,0.9166666666666666,1,,30,train,qth_0.5
31,1472,62,61,61,0,0.0414402173913043,1.0,0.9838709677419355,1,,30,train,qth_0.5
32,1473,15,15,15,0,0.010183299389002,1.0,1.0,1,,30,train,qth_0.5
33,1464,145,135,135,0,0.0922131147540983,1.0,0.9310344827586207,1,,30,train,qth_0.5
34,1519,97,82,82,0,0.053982883475971,1.0,0.845360824742268,1,,30,train,qth_0.5
35,1492,11,11,11,0,0.0073726541554959,1.0,1.0,1,,30,train,qth_0.5
36,1484,119,109,109,0,0.0734501347708894,1.0,0.9159663865546218,1,,30,train,qth_0.5
37,1475,100,72,72,0,0.0488135593220339,1.0,0.72,1,,30,train,qth_0.5
38,1401,93,85,85,0,0.0606709493219129,1.0,0.9139784946236559,1,,30,train,qth_0.5
39,1541,111,92,92,0,0.0597014925373134,1.0,0.8288288288288288,1,,30,train,qth_0.5
40,1489,21,21,21,0,0.0141034251175285,1.0,1.0,1,,30,train,qth_0.5
41,1461,23,22,22,0,0.0150581793292265,1.0,0.9565217391304348,1,,30,train,qth_0.5
42,1432,22,21,21,0,0.0146648044692737,1.0,0.9545454545454546,1,,30,train,qth_0.5
all,63968,1983,1850,1850,0,0.0289207103551775,1.0,0.9329299041855774,1,,30,train,qth_0.5
0,1538,22,21,21,0,0.0136540962288686,1.0,0.9545454545454546,2,,30,train,qth_0.5
1,1483,83,82,82,0,0.0552933243425488,1.0,0.9879518072289156,2,,30,train,qth_0.5
2,1473,85,81,81,0,0.054989816700611,1.0,0.9529411764705882,2,,30,train,qth_0.5
3,1478,68,67,67,0,0.0453315290933694,1.0,0.9852941176470589,2,,30,train,qth_0.5
4,1528,75,74,74,0,0.0484293193717277,1.0,0.9866666666666667,2,,30,train,qth_0.5
5,1401,150,143,143,0,0.1020699500356887,1.0,0.9533333333333334,2,,30,train,qth_0.5
6,1521,13,13,13,0,0.0085470085470085,1.0,1.0,2,,30,train,qth_0.5
7,1508,58,55,55,0,0.036472148541114,1.0,0.9482758620689655,2,,30,train,qth_0.5
8,1497,30,30,30,0,0.0200400801603206,1.0,1.0,2,,30,train,qth_0.5
9,1521,29,29,29,0,0.0190664036817883,1.0,1.0,2,,30,train,qth_0.5
10,1447,29,29,29,0,0.0200414651002073,1.0,1.0,2,,30,train,qth_0.5
11,1485,27,27,27,0,0.0181818181818181,1.0,1.0,2,,30,train,qth_0.5
12,1478,13,13,13,0,0.0087956698240866,1.0,1.0,2,,30,train,qth_0.5
13,1477,8,8,8,0,0.0054163845633039,1.0,1.0,2,,30,train,qth_0.5
14,1485,0,0,0,0,0.0,0.0,,2,,30,train,qth_0.5
15,1460,10,10,10,0,0.0068493150684931,1.0,1.0,2,,30,train,qth_0.5
16,1455,9,9,9,0,0.0061855670103092,1.0,1.0,2,,30,train,qth_0.5
17,1478,1,1,1,0,0.0006765899864682,1.0,1.0,2,,30,train,qth_0.5
18,1563,28,27,27,0,0.0172744721689059,1.0,0.9642857142857143,2,,30,train,qth_0.5
19,1504,78,68,68,0,0.0452127659574468,1.0,0.8717948717948718,2,,30,train,qth_0.5
20,1496,77,73,73,0,0.0487967914438502,1.0,0.948051948051948,2,,30,train,qth_0.5
21,1455,43,41,41,0,0.0281786941580756,1.0,0.9534883720930233,2,,30,train,qth_0.5
22,1527,19,18,18,0,0.0117878192534381,1.0,0.9473684210526315,2,,30,train,qth_0.5
23,1467,27,27,27,0,0.0184049079754601,1.0,1.0,2,,30,train,qth_0.5
24,1486,23,22,22,0,0.0148048452220726,1.0,0.9565217391304348,2,,30,train,qth_0.5
25,1503,56,55,55,0,0.0365934797072521,1.0,0.9821428571428571,2,,30,train,qth_0.5
26,1532,16,16,16,0,0.010443864229765,1.0,1.0,2,,30,train,qth_0.5
27,1519,28,27,27,0,0.0177748518762343,1.0,0.9642857142857143,2,,30,train,qth_0.5
28,1496,30,30,30,0,0.0200534759358288,1.0,1.0,2,,30,train,qth_0.5
29,1496,17,17,17,0,0.0113636363636363,1.0,1.0,2,,30,train,qth_0.5
30,1508,12,11,11,0,0.0072944297082228,1.0,0.9166666666666666,2,,30,train,qth_0.5
31,1472,62,61,61,0,0.0414402173913043,1.0,0.9838709677419355,2,,30,train,qth_0.5
32,1473,15,15,15,0,0.010183299389002,1.0,1.0,2,,30,train,qth_0.5
33,1464,145,135,135,0,0.0922131147540983,1.0,0.9310344827586207,2,,30,train,qth_0.5
34,1519,97,82,82,0,0.053982883475971,1.0,0.845360824742268,2,,30,train,qth_0.5
35,1492,11,11,11,0,0.0073726541554959,1.0,1.0,2,,30,train,qth_0.5
36,1484,119,109,109,0,0.0734501347708894,1.0,0.9159663865546218,2,,30,train,qth_0.5
37,1475,100,72,72,0,0.0488135593220339,1.0,0.72,2,,30,train,qth_0.5
38,1401,93,85,85,0,0.0606709493219129,1.0,0.9139784946236559,2,,30,train,qth_0.5
39,1541,111,92,92,0,0.0597014925373134,1.0,0.8288288288288288,2,,30,train,qth_0.5
40,1489,21,21,21,0,0.0141034251175285,1.0,1.0,2,,30,train,qth_0.5
41,1461,23,22,22,0,0.0150581793292265,1.0,0.9565217391304348,2,,30,train,qth_0.5
42,1432,22,21,21,0,0.0146648044692737,1.0,0.9545454545454546,2,,30,train,qth_0.5
all,63968,1983,1850,1850,0,0.0289207103551775,1.0,0.9329299041855774,2,,30,train,qth_0.5
0,1538,22,21,21,0,0.0136540962288686,1.0,0.9545454545454546,3,,30,train,qth_0.5
1,1483,83,82,82,0,0.0552933243425488,1.0,0.9879518072289156,3,,30,train,qth_0.5
2,1473,85,81,81,0,0.054989816700611,1.0,0.9529411764705882,3,,30,train,qth_0.5
3,1478,68,67,67,0,0.0453315290933694,1.0,0.9852941176470589,3,,30,train,qth_0.5
4,1528,75,74,74,0,0.0484293193717277,1.0,0.9866666666666667,3,,30,train,qth_0.5
5,1401,150,143,143,0,0.1020699500356887,1.0,0.9533333333333334,3,,30,train,qth_0.5
6,1521,13,13,13,0,0.0085470085470085,1.0,1.0,3,,30,train,qth_0.5
7,1508,58,55,55,0,0.036472148541114,1.0,0.9482758620689655,3,,30,train,qth_0.5
8,1497,30,30,30,0,0.0200400801603206,1.0,1.0,3,,30,train,qth_0.5
9,1521,29,29,29,0,0.0190664036817883,1.0,1.0,3,,30,train,qth_0.5
10,1447,29,29,29,0,0.0200414651002073,1.0,1.0,3,,30,train,qth_0.5
11,1485,27,27,27,0,0.0181818181818181,1.0,1.0,3,,30,train,qth_0.5
12,1478,13,13,13,0,0.0087956698240866,1.0,1.0,3,,30,train,qth_0.5
13,1477,8,8,8,0,0.0054163845633039,1.0,1.0,3,,30,train,qth_0.5
14,1485,0,0,0,0,0.0,0.0,,3,,30,train,qth_0.5
15,1460,10,10,10,0,0.0068493150684931,1.0,1.0,3,,30,train,qth_0.5
16,1455,9,9,9,0,0.0061855670103092,1.0,1.0,3,,30,train,qth_0.5
17,1478,1,1,1,0,0.0006765899864682,1.0,1.0,3,,30,train,qth_0.5
18,1563,28,27,27,0,0.0172744721689059,1.0,0.9642857142857143,3,,30,train,qth_0.5
19,1504,78,68,68,0,0.0452127659574468,1.0,0.8717948717948718,3,,30,train,qth_0.5
20,1496,77,73,73,0,0.0487967914438502,1.0,0.948051948051948,3,,30,train,qth_0.5
21,1455,43,41,41,0,0.0281786941580756,1.0,0.9534883720930233,3,,30,train,qth_0.5
22,1527,19,18,18,0,0.0117878192534381,1.0,0.9473684210526315,3,,30,train,qth_0.5
23,1467,27,27,27,0,0.0184049079754601,1.0,1.0,3,,30,train,qth_0.5
24,1486,23,22,22,0,0.0148048452220726,1.0,0.9565217391304348,3,,30,train,qth_0.5
25,1503,56,55,55,0,0.0365934797072521,1.0,0.9821428571428571,3,,30,train,qth_0.5
26,1532,16,16,16,0,0.010443864229765,1.0,1.0,3,,30,train,qth_0.5
27,1519,28,27,27,0,0.0177748518762343,1.0,0.9642857142857143,3,,30,train,qth_0.5
28,1496,30,30,30,0,0.0200534759358288,1.0,1.0,3,,30,train,qth_0.5
29,1496,17,17,17,0,0.0113636363636363,1.0,1.0,3,,30,train,qth_0.5
30,1508,12,11,11,0,0.0072944297082228,1.0,0.9166666666666666,3,,30,train,qth_0.5
31,1472,62,61,61,0,0.0414402173913043,1.0,0.9838709677419355,3,,30,train,qth_0.5
32,1473,15,15,15,0,0.010183299389002,1.0,1.0,3,,30,train,qth_0.5
33,1464,145,135,135,0,0.0922131147540983,1.0,0.9310344827586207,3,,30,train,qth_0.5
34,1519,97,82,82,0,0.053982883475971,1.0,0.845360824742268,3,,30,train,qth_0.5
35,1492,11,11,11,0,0.0073726541554959,1.0,1.0,3,,30,train,qth_0.5
36,1484,119,109,109,0,0.0734501347708894,1.0,0.9159663865546218,3,,30,train,qth_0.5
37,1475,100,72,72,0,0.0488135593220339,1.0,0.72,3,,30,train,qth_0.5
38,1401,93,85,85,0,0.0606709493219129,1.0,0.9139784946236559,3,,30,train,qth_0.5
39,1541,111,92,92,0,0.0597014925373134,1.0,0.8288288288288288,3,,30,train,qth_0.5
40,1489,21,21,21,0,0.0141034251175285,1.0,1.0,3,,30,train,qth_0.5
41,1461,23,22,22,0,0.0150581793292265,1.0,0.9565217391304348,3,,30,train,qth_0.5
42,1432,22,21,21,0,0.0146648044692737,1.0,0.9545454545454546,3,,30,train,qth_0.5
all,63968,1983,1850,1850,0,0.0289207103551775,1.0,0.9329299041855774,3,,30,train,qth_0.5
0,94,2,2,2,0,0.0212765957446808,1.0,1.0,0,,30,test,qth_0.5
1,107,0,0,0,0,0.0,0.0,,0,,30,test,qth_0.5
2,97,0,0,0,0,0.0,0.0,,0,,30,test,qth_0.5
3,100,4,3,3,0,0.03,1.0,0.75,0,,30,test,qth_0.5
4,107,5,5,5,0,0.0467289719626168,1.0,1.0,0,,30,test,qth_0.5
5,95,0,0,0,0,0.0,0.0,,0,,30,test,qth_0.5
6,76,5,5,5,0,0.0657894736842105,1.0,1.0,0,,30,test,qth_0.5
7,97,2,1,1,0,0.0103092783505154,1.0,0.5,0,,30,test,qth_0.5
8,125,0,0,0,0,0.0,0.0,,0,,30,test,qth_0.5
9,86,0,0,0,0,0.0,0.0,,0,,30,test,qth_0.5
10,95,2,2,2,0,0.0210526315789473,1.0,1.0,0,,30,test,qth_0.5
11,81,1,1,1,0,0.0123456790123456,1.0,1.0,0,,30,test,qth_0.5
12,98,9,9,9,0,0.0918367346938775,1.0,1.0,0,,30,test,qth_0.5
13,92,1,1,1,0,0.0108695652173913,1.0,1.0,0,,30,test,qth_0.5
14,106,0,0,0,0,0.0,0.0,,0,,30,test,qth_0.5
15,100,0,0,0,0,0.0,0.0,,0,,30,test,qth_0.5
16,130,0,0,0,0,0.0,0.0,,0,,30,test,qth_0.5
17,108,0,0,0,0,0.0,0.0,,0,,30,test,qth_0.5
18,85,11,9,9,0,0.1058823529411764,1.0,0.8181818181818182,0,,30,test,qth_0.5
19,95,0,0,0,0,0.0,0.0,,0,,30,test,qth_0.5
20,91,0,0,0,0,0.0,0.0,,0,,30,test,qth_0.5
21,83,19,13,13,0,0.1566265060240964,1.0,0.6842105263157895,0,,30,test,qth_0.5
22,94,15,13,13,0,0.1382978723404255,1.0,0.8666666666666667,0,,30,test,qth_0.5
23,110,0,0,0,0,0.0,0.0,,0,,30,test,qth_0.5
24,98,1,1,1,0,0.010204081632653,1.0,1.0,0,,30,test,qth_0.5
25,107,1,1,1,0,0.0093457943925233,1.0,1.0,0,,30,test,qth_0.5
26,115,0,0,0,0,0.0,0.0,,0,,30,test,qth_0.5
27,94,44,44,44,0,0.4680851063829787,1.0,1.0,0,,30,test,qth_0.5
28,96,0,0,0,0,0.0,0.0,,0,,30,test,qth_0.5
29,99,0,0,0,0,0.0,0.0,,0,,30,test,qth_0.5
30,90,14,12,12,0,0.1333333333333333,1.0,0.8571428571428571,0,,30,test,qth_0.5
31,96,0,0,0,0,0.0,0.0,,0,,30,test,qth_0.5
32,101,0,0,0,0,0.0,0.0,,0,,30,test,qth_0.5
33,108,3,3,3,0,0.0277777777777777,1.0,1.0,0,,30,test,qth_0.5
34,97,1,1,1,0,0.0103092783505154,1.0,1.0,0,,30,test,qth_0.5
35,80,3,3,3,0,0.0375,1.0,1.0,0,,30,test,qth_0.5
36,94,0,0,0,0,0.0,0.0,,0,,30,test,qth_0.5
37,89,0,0,0,0,0.0,0.0,,0,,30,test,qth_0.5
38,100,1,1,1,0,0.01,1.0,1.0,0,,30,test,qth_0.5
39,93,29,28,28,0,0.3010752688172043,1.0,0.9655172413793104,0,,30,test,qth_0.5
40,95,2,2,2,0,0.0210526315789473,1.0,1.0,0,,30,test,qth_0.5
41,99,0,0,0,0,0.0,0.0,,0,,30,test,qth_0.5
42,89,2,2,2,0,0.0224719101123595,1.0,1.0,0,,30,test,qth_0.5
